2019-06-09 18:23:56,675 [  21455]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index org.jetbrains.kotlin.idea.stubindex.KotlinTopLevelTypeAliasByPackageIndex will be built. 
2019-06-09 18:23:56,682 [  21462]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index org.jetbrains.kotlin.idea.stubindex.KotlinClassShortNameIndex will be built. 
2019-06-09 18:23:56,721 [  21501]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index org.jetbrains.kotlin.idea.stubindex.KotlinFullClassNameIndex will be built. 
2019-06-09 18:23:56,732 [  21512]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index org.jetbrains.kotlin.idea.stubindex.KotlinPropertyShortNameIndex will be built. 
2019-06-09 18:23:56,773 [  21553]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index org.jetbrains.kotlin.idea.stubindex.KotlinFunctionShortNameIndex will be built. 
2019-06-09 18:23:56,779 [  21559]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index org.jetbrains.kotlin.idea.stubindex.KotlinTypeAliasShortNameIndex will be built. 
2019-06-09 18:23:56,795 [  21575]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index org.jetbrains.kotlin.idea.stubindex.KotlinSuperClassIndex will be built. 
2019-06-09 18:23:56,810 [  21590]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index org.jetbrains.kotlin.idea.stubindex.KotlinTopLevelFunctionFqnNameIndex will be built. 
2019-06-09 18:23:56,817 [  21597]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index org.jetbrains.kotlin.idea.stubindex.KotlinTopLevelPropertyFqnNameIndex will be built. 
2019-06-09 18:23:56,837 [  21617]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index org.jetbrains.kotlin.idea.stubindex.KotlinTopLevelTypeAliasFqNameIndex will be built. 
2019-06-09 18:23:56,844 [  21624]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index org.jetbrains.kotlin.idea.stubindex.KotlinTopLevelExtensionsByReceiverTypeIndex will be built. 
2019-06-09 18:23:56,852 [  21632]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index org.jetbrains.kotlin.idea.stubindex.KotlinAnnotationsIndex will be built. 
2019-06-09 18:23:56,858 [  21638]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index org.jetbrains.kotlin.idea.stubindex.KotlinProbablyNothingFunctionShortNameIndex will be built. 
2019-06-09 18:23:56,926 [  21706]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index org.jetbrains.kotlin.idea.stubindex.KotlinProbablyNothingPropertyShortNameIndex will be built. 
2019-06-09 18:23:56,940 [  21720]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index org.jetbrains.kotlin.idea.stubindex.KotlinProbablyContractedFunctionShortNameIndex will be built. 
2019-06-09 18:23:56,953 [  21733]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index org.jetbrains.kotlin.idea.stubindex.KotlinFileFacadeFqNameIndex will be built. 
2019-06-09 18:23:57,058 [  21838]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index org.jetbrains.kotlin.idea.stubindex.KotlinFilePartClassIndex will be built. 
2019-06-09 18:23:57,074 [  21854]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index org.jetbrains.kotlin.idea.stubindex.KotlinFileFacadeClassByPackageIndex will be built. 
2019-06-09 18:23:57,088 [  21868]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index org.jetbrains.kotlin.idea.stubindex.KotlinFileFacadeShortNameIndex will be built. 
2019-06-09 18:23:57,128 [  21908]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index org.jetbrains.kotlin.idea.stubindex.KotlinMultifileClassPartIndex will be built. 
2019-06-09 18:23:57,146 [  21926]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index org.jetbrains.kotlin.idea.stubindex.KotlinScriptFqnIndex will be built. 
2019-06-09 18:23:57,156 [  21936]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index org.jetbrains.kotlin.idea.stubindex.KotlinTypeAliasByExpansionShortNameIndex will be built. 
2019-06-09 18:23:57,170 [  21950]   INFO - tellij.psi.stubs.StubIndexImpl - Stub index org.jetbrains.kotlin.idea.stubindex.KotlinOverridableInternalMembersShortNameIndex will be built. 
2019-06-09 18:23:57,189 [  21969]   INFO - exImpl$StubIndexInitialization - Initialization done:1052 
2019-06-09 18:23:57,906 [  22686]   INFO - ellij.project.impl.ProjectImpl - 20 project components initialized in 2049 ms 
2019-06-09 18:23:59,249 [  24029]   WARN - ConfigurableExtensionPointUtil - ignore deprecated groupId: language for id: preferences.language.Kotlin.scripting 
2019-06-09 18:24:08,993 [  33773]   INFO - com.intellij.ide.ui.UISettings - Loaded: fontSize=12, fontScale=1.0; restored: fontSize=12, fontScale=1.0 
2019-06-09 18:24:11,956 [  36736]   INFO - CompilerWorkspaceConfiguration - Available processors: 4 
2019-06-09 18:24:15,003 [  39783]   INFO - pi.util.registry.RegistryValue - Registry value 'java.completion.argument.hints' has changed to 'false' 
2019-06-09 18:24:15,004 [  39784]   INFO - pi.util.registry.RegistryValue - Registry value 'java.completion.argument.hints.internal' has changed to 'false' 
2019-06-09 18:24:17,485 [  42265]   INFO - com.intellij.ide.ui.UISettings - Loaded: fontSize=12, fontScale=1.0; restored: fontSize=12, fontScale=1.0 
2019-06-09 18:24:58,072 [  82852]   INFO - stubs.SerializationManagerImpl - START StubSerializationManager SHUTDOWN 
2019-06-09 18:24:58,088 [  82868]   INFO - stubs.SerializationManagerImpl - END StubSerializationManager SHUTDOWN 
2019-06-09 18:24:58,088 [  82868]   INFO - il.indexing.FileBasedIndexImpl - START INDEX SHUTDOWN 
2019-06-09 18:24:58,189 [  82969]   INFO - il.indexing.FileBasedIndexImpl - END INDEX SHUTDOWN 
2019-06-09 18:24:58,193 [  82973]   INFO - org.jetbrains.io.BuiltInServer - web server stopped 
2019-06-09 18:24:58,194 [  82974]   INFO - Types.impl.FileTypeManagerImpl - FileTypeManager: 0 auto-detected files
Elapsed time on auto-detect: 0 ms 
2019-06-09 18:24:58,237 [  83017]   INFO - newvfs.persistent.PersistentFS - VFS dispose started 
2019-06-09 18:24:58,243 [  83023]   INFO - newvfs.persistent.PersistentFS - VFS dispose completed 
2019-06-09 18:24:58,248 [  83028]   INFO - plication.impl.ApplicationImpl - Write action Statistics:
Event number:     0
Total time spent: 0ms
Average duration: 0ms
Median  duration: 0ms
Max     duration: 0ms (it was 'null') 
2019-06-09 18:24:58,248 [  83028]   INFO - plication.impl.ApplicationImpl - AnAction.update() Statistics:
Event number:     0
Total time spent: 0ms
Average duration: 0ms
Median  duration: 0ms
Max     duration: 0ms (it was 'null') 
2019-06-09 18:24:58,250 [  83030]   INFO - plication.impl.ApplicationImpl - Global instance threads created counter = 7; ProcessIOExecutorService threads: 0 
2019-06-09 18:24:58,257 [  83037]   INFO -        #com.intellij.idea.Main - ------------------------------------------------------ IDE SHUTDOWN ------------------------------------------------------ 
2019-06-09 18:24:58,258 [  83038]   INFO - org.jetbrains.io.BuiltInServer - web server stopped 
2019-06-09 22:34:36,414 [      0]   INFO -        #com.intellij.idea.Main - ------------------------------------------------------ IDE STARTED ------------------------------------------------------ 
2019-06-09 22:34:36,620 [    206]   INFO -        #com.intellij.idea.Main - IDE: IntelliJ IDEA (build #IC-191.7141.44, 07 May 2019 07:59) 
2019-06-09 22:34:36,620 [    206]   INFO -        #com.intellij.idea.Main - OS: Mac OS X (10.13.6, x86_64) 
2019-06-09 22:34:36,620 [    206]   INFO -        #com.intellij.idea.Main - JRE: 1.8.0_202-release-1483-b49 (JetBrains s.r.o) 
2019-06-09 22:34:36,620 [    206]   INFO -        #com.intellij.idea.Main - JVM: 25.202-b49 (OpenJDK 64-Bit Server VM) 
2019-06-09 22:34:36,643 [    229]   INFO -        #com.intellij.idea.Main - JVM Args: -Dapple.awt.fileDialogForDirectories=true -Dapple.laf.useScreenMenuBar=true -Didea.classpath.index.enabled=false -Didea.config.path=/Users/vasilioskaloidis/Code/Java/ATC/build/idea-sandbox/config -Didea.is.internal=true -Didea.platform.prefix=Idea -Didea.plugins.path=/Users/vasilioskaloidis/Code/Java/ATC/build/idea-sandbox/plugins -Didea.required.plugins.id=vas.ATC -Didea.smooth.progress=false -Didea.system.path=/Users/vasilioskaloidis/Code/Java/ATC/build/idea-sandbox/system -Xms256m -Xmx512m -Dfile.encoding=UTF-8 -Duser.country=US -Duser.language=en -Duser.variant -ea 
2019-06-09 22:34:36,643 [    229]   INFO -        #com.intellij.idea.Main - ext: /Users/vasilioskaloidis/.gradle/caches/modules-2/files-2.1/com.jetbrains/jbre/jbrx-8u202-osx-x64-b1483.49/jdk/Contents/Home/jre/lib/ext: [sunec.jar, nashorn.jar, cldrdata.jar, jfxrt.jar, dnsns.jar, localedata.jar, sunjce_provider.jar, meta-index, sunpkcs11.jar, jaccess.jar, zipfs.jar] 
2019-06-09 22:34:36,643 [    229]   INFO -        #com.intellij.idea.Main - ext: /System/Library/Java/Extensions: [MRJToolkit.jar] 
2019-06-09 22:34:36,644 [    230]   INFO -        #com.intellij.idea.Main - charsets: JNU=UTF-8 file=UTF-8 
2019-06-09 22:34:36,679 [    265]   INFO -        #com.intellij.idea.Main - JNA library (64-bit) loaded in 35 ms 
2019-06-09 22:34:36,742 [    328]   INFO -        #com.intellij.idea.Main - initializing environment 
2019-06-09 22:34:36,744 [    330]   INFO - .intellij.util.EnvironmentUtil - loading shell env: /bin/bash -l -i -c '/Users/vasilioskaloidis/.gradle/caches/modules-2/files-2.1/com.jetbrains.intellij.idea/ideaIC/2019.1.2/7999543c914a11e4d9b4039ed77338c4f36a86dd/ideaIC-2019.1.2/bin/printenv.py' '/private/var/folders/_v/4ql_pg4x66b6nrf_y8m610z80000gn/T/intellij-shell-env.tmp' 
2019-06-09 22:34:37,165 [    751]   INFO -     #com.intellij.util.ui.JBUI - User scale factor: 1.0 
2019-06-09 22:34:37,344 [    930]   INFO -     #com.intellij.util.ui.JBUI - System scale factor: 1.0 (JRE-managed HiDPI) 
